path,sentence
common_voice_sw_37214280.mp3,hama kenya amani tele
common_voice_sw_37803619.mp3,ngeti katika pia wanyamama maishi
common_voice_sw_37215569.mp3,chini ya serikalimechaguliwanyamo azo kamaku
common_voice_sw_36802765.mp3,kwa kwa chanzo kwa mfalme uchafuzi wa kimsingi
common_voice_sw_30341871.mp3,sa
common_voice_sw_35901526.mp3,makumbusho ya jimba la sota humesha mashindano yake na historia ya oman
common_voice_sw_31071421.mp3,matumahi kwamba ni kawatia moyo watu wengine kujitokeza na kukwea milima yao
common_voice_sw_37263755.mp3,kumi na moja mwaka elfu moja tisa ishirini katika ushirika na ulianzishwa katikamasai
common_voice_sw_30658359.mp3,katika karne ya kumi na sita wareno walitoastawi mbele katika biashara hivi
common_voice_sw_36448188.mp3,alitika nasha zi kalea namina nemba nchizoli
common_voice_sw_37263664.mp3,alipofika mbani aliunga na kuanza kweli kuelekea njia ya maji
common_voice_sw_30621176.mp3,wakati wa unatembelea familia
common_voice_sw_37262984.mp3,babo amempakiwawa na kwaku wengi
common_voice_sw_31375973.mp3,0
common_voice_sw_36451325.mp3,kwe ni mvu
common_voice_sw_35004076.mp3,yeyeye amekachenga brazi
common_voice_sw_30644783.mp3,baadhi ya wasanii huo hawamfuati alisto tu katika kufu za kuelekea kilinini
common_voice_sw_34987284.mp3,peki vicha
common_voice_sw_37263764.mp3,lakini kwa kidioni wa lishindwa baada ya marekani kuongilia hati
common_voice_sw_30574404.mp3,kushiliza mazoezi na shughuli ditega a afka
common_voice_sw_37228299.mp3,jerwando nimeja
common_voice_sw_28704687.mp3,kihistoria salikuwa jina lachi yote upande wa mashariki ba wa bahari ya merania
common_voice_sw_28704688.mp3,watu wachache hupata abe yazio
common_voice_sw_30574458.mp3,waingereza waliipa uhuru zanzibar chini ya jumuiyaiya ya hadula
common_voice_sw_37916603.mp3,hi mwalfu moja ma ma mamba anatokana ka se
common_voice_sw_31080941.mp3,kwando ndege namoyo wakati wa masika januari hadi kli
common_voice_sw_37664680.mp3,alisemaliwa eka ka mkugenzi wa malipo ya taifa
common_voice_sw_30719968.mp3,ni muribu kufanya livi filavyohali gavi bege nyumba
common_voice_sw_30646006.mp3,baadhi ya nchi hujaribu kuwa kukuza wanyama ambao hapo nchini mwao
common_voice_sw_35145946.mp3,mataifa letu nina mmoja
common_voice_sw_37860482.mp3,toto wa pi wakaa kwenyezengu na berani afrika kusini ma ji la siba
common_voice_sw_30644768.mp3,ijuma laz matule bila au biriani
common_voice_sw_28677367.mp3,eneo lake ni sehemu za kaskazini za jiti
common_voice_sw_31101262.mp3,m mlima meru unapatikana ndani ya hifadhi ya hasha
common_voice_sw_28258743.mp3,sehemu za angahewa zina baridi au joto zaidi kutengemeana na tele
common_voice_sw_30577673.mp3,kabila la wabenanda ni miongoni mwa kabila linalovyopatikana nchini tanzania
common_voice_sw_30561965.mp3,mara zote yaonge kitu kuhusunendo afya za mtu si
common_voice_sw_31152268.mp3,hawase mourinho wanaweza kutangulia kwenda china
common_voice_sw_31255558.mp3,milioni ishi na tano nukta tatu zimetumika kuboresha barabara la vicha
